Adam_loss,Adam_acc,AdaGrad_loss,AdaGrad_acc,RMSProp_loss,RMSProp_acc,SGD_momentum_loss,SGD_momentum_acc
0.32824498414993286,0.9009666442871094,2.2120816707611084,0.29660001397132874,0.3334777355194092,0.8981166481971741,1.772120714187622,0.5107166767120361
0.1281568706035614,0.9610333442687988,1.7376571893692017,0.6153500080108643,0.14222073554992676,0.9563166499137878,0.5489898920059204,0.8475333452224731
0.0930057018995285,0.9709833264350891,1.0128512382507324,0.7574666738510132,0.10338285565376282,0.9683333039283752,0.3805191218852997,0.8903833627700806
0.07090616971254349,0.9776833057403564,0.6798686385154724,0.8169166445732117,0.08068958669900894,0.9753000140190125,0.3278684914112091,0.9054999947547913
0.05686561390757561,0.9817000031471252,0.5512655973434448,0.8478500247001648,0.06768637150526047,0.9787499904632568,0.2960062623023987,0.9149333238601685
0.04943675175309181,0.9838833212852478,0.4838672876358032,0.864633321762085,0.05502182990312576,0.9819833040237427,0.27236130833625793,0.921583354473114
0.0406278520822525,0.9869833588600159,0.441735178232193,0.8757666945457458,0.04665311053395271,0.9853666424751282,0.2523386776447296,0.9273499846458435
0.035868264734745026,0.9886999726295471,0.4120570421218872,0.8832499980926514,0.040157709270715714,0.9872000217437744,0.23546551167964935,0.9317499995231628
0.03290024399757385,0.9891666769981384,0.38977062702178955,0.8895833492279053,0.03558424487709999,0.9887166619300842,0.22040830552577972,0.9371333122253418
0.027865292504429817,0.9909833073616028,0.3720753788948059,0.8942833542823792,0.0326271578669548,0.9901333451271057,0.2069474309682846,0.9405333399772644
0.026832861825823784,0.9908499717712402,0.35738980770111084,0.8984500169754028,0.02737913653254509,0.9911999702453613,0.19511257112026215,0.9438166618347168
0.02572115696966648,0.9913833141326904,0.34483376145362854,0.9021833539009094,0.025393087416887283,0.9918166399002075,0.18474137783050537,0.946566641330719
0.022675327956676483,0.9925166964530945,0.334122896194458,0.9050833582878113,0.023462381213903427,0.9924666881561279,0.17587804794311523,0.9491333365440369
0.02012825571000576,0.9935500025749207,0.32462406158447266,0.9073833227157593,0.021438930183649063,0.9934666752815247,0.1687299907207489,0.9512333273887634
0.01862882822751999,0.9934666752815247,0.31617823243141174,0.9100833535194397,0.02046738937497139,0.9937333464622498,0.1616092324256897,0.9532833099365234
0.016272490844130516,0.9945999979972839,0.30862554907798767,0.9114500284194946,0.019084692001342773,0.9942333102226257,0.1551082581281662,0.9553666710853577
0.01616755500435829,0.9946833252906799,0.30175286531448364,0.9138500094413757,0.017428461462259293,0.9947500228881836,0.14888954162597656,0.9564333558082581
0.017012929543852806,0.9944333434104919,0.29533109068870544,0.9156500101089478,0.016711929813027382,0.995199978351593,0.14329728484153748,0.9583666920661926
0.01573566161096096,0.9949333071708679,0.28954383730888367,0.916949987411499,0.016659796237945557,0.9953500032424927,0.13823296129703522,0.9598666429519653
0.012127678841352463,0.9959333539009094,0.28414520621299744,0.9179666638374329,0.014140618033707142,0.9958999752998352,0.13381899893283844,0.9610333442687988
